symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2310518200PE,,2023-01-02,NSE,FO,,buy,false,50.000000,119.600000,87090762,1100000015586850,2023-01-02T09:51:32,2023-01-05
NIFTY2310518200PE,,2023-01-02,NSE,FO,,sell,false,50.000000,113.900000,87137544,1100000015649280,2023-01-02T09:54:27,2023-01-05
NIFTY2310518200PE,,2023-01-02,NSE,FO,,buy,false,50.000000,120.000000,87239361,1100000018013947,2023-01-02T10:02:27,2023-01-05
NIFTY2310518200PE,,2023-01-02,NSE,FO,,sell,false,50.000000,110.900000,87281952,1100000018072299,2023-01-02T10:05:18,2023-01-05
NIFTY2310518200PE,,2023-01-02,NSE,FO,,buy,false,50.000000,102.050000,88576567,1100000043294586,2023-01-02T12:34:19,2023-01-05
NIFTY2310518200PE,,2023-01-02,NSE,FO,,sell,false,50.000000,104.800000,88826514,1100000043354780,2023-01-02T13:02:01,2023-01-05
NIFTY2310518200CE,,2023-01-03,NSE,FO,,buy,false,50.000000,74.050000,419474,1000000003782757,2023-01-03T09:22:08,2023-01-05
NIFTY2310518200CE,,2023-01-03,NSE,FO,,sell,false,50.000000,69.000000,565891,1000000003851189,2023-01-03T09:26:13,2023-01-05
NIFTY2310518200PE,,2023-01-03,NSE,FO,,buy,false,50.000000,102.550000,86627564,1100000008760350,2023-01-03T09:30:52,2023-01-05
NIFTY2310518200PE,,2023-01-03,NSE,FO,,sell,false,50.000000,93.950000,86661684,1100000008995563,2023-01-03T09:31:46,2023-01-05
NIFTY2310518200CE,,2023-01-03,NSE,FO,,buy,false,50.000000,81.100000,822313,1000000008400923,2023-01-03T09:33:06,2023-01-05
NIFTY2310518200CE,,2023-01-03,NSE,FO,,sell,false,50.000000,104.800000,1891090,1000000008550079,2023-01-03T10:17:02,2023-01-05
NIFTY2310518100CE,,2023-01-04,NSE,FO,,buy,false,50.000000,89.400000,2571463,1000000021857600,2023-01-04T10:02:45,2023-01-05
NIFTY2310518100CE,,2023-01-04,NSE,FO,,sell,false,50.000000,102.150000,3298773,1000000021926378,2023-01-04T10:28:11,2023-01-05
NIFTY2310518000CE,,2023-01-04,NSE,FO,,buy,false,50.000000,97.300000,9410898,1000000096598656,2023-01-04T14:46:13,2023-01-05
NIFTY2310518000CE,,2023-01-04,NSE,FO,,sell,false,50.000000,90.000000,9468319,1000000096722324,2023-01-04T14:47:27,2023-01-05
NIFTY2310518000CE,,2023-01-04,NSE,FO,,buy,false,50.000000,86.800000,9776103,1000000099931046,2023-01-04T14:53:36,2023-01-05
NIFTY2310518000CE,,2023-01-04,NSE,FO,,sell,false,50.000000,100.200000,10427615,1000000100107137,2023-01-04T15:10:06,2023-01-05
NIFTY2310518000CE,,2023-01-05,NSE,FO,,buy,false,50.000000,75.150000,3735450,1000000027442326,2023-01-05T09:51:38,2023-01-05
NIFTY2310518000CE,,2023-01-05,NSE,FO,,sell,false,50.000000,68.650000,4363804,1000000027615367,2023-01-05T10:07:41,2023-01-05
NIFTY2310518100PE,,2023-01-05,NSE,FO,,buy,false,50.000000,90.600000,89997075,1100000039124789,2023-01-05T10:11:36,2023-01-05
NIFTY2310518100PE,,2023-01-05,NSE,FO,,sell,false,50.000000,76.000000,90107196,1100000039309764,2023-01-05T10:14:04,2023-01-05
NIFTY2311218100CE,,2023-01-06,NSE,FO,,buy,false,50.000000,83.050000,1445384,1000000017497402,2023-01-06T09:50:08,2023-01-12
NIFTY2311218100CE,,2023-01-06,NSE,FO,,sell,false,50.000000,67.000000,1655222,1000000017746131,2023-01-06T09:59:00,2023-01-12
NIFTY2311218000CE,,2023-01-06,NSE,FO,,buy,false,50.000000,95.050000,3592490,1000000053337750,2023-01-06T12:03:36,2023-01-12
NIFTY2311218000CE,,2023-01-06,NSE,FO,,sell,false,50.000000,78.450000,3878961,1000000053430370,2023-01-06T12:29:55,2023-01-12
NIFTY2311218000PE,,2023-01-10,NSE,FO,,buy,false,50.000000,141.650000,92259210,1100000091285716,2023-01-10T13:38:51,2023-01-12
NIFTY2311218000PE,,2023-01-10,NSE,FO,,sell,false,50.000000,131.000000,92672780,1100000091335788,2023-01-10T13:53:43,2023-01-12
NIFTY2311218000CE,,2023-01-11,NSE,FO,,buy,false,50.000000,35.250000,1082804,1000000009160989,2023-01-11T09:30:24,2023-01-12
NIFTY2311218000CE,,2023-01-11,NSE,FO,,sell,false,50.000000,32.350000,1192748,1000000009302075,2023-01-11T09:33:12,2023-01-12
NIFTY2311218000CE,,2023-01-11,NSE,FO,,buy,false,50.000000,38.850000,1396083,1000000012579663,2023-01-11T09:37:59,2023-01-12
